0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/css/util.css HTTP/1.1" 200 86812
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/animsition/js/animsition.min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/css/main.css HTTP/1.1" 200 10603
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/bootstrap/js/popper.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/countdowntime/countdowntime.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/select2/select2.min.js HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/daterangepicker/moment.min.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/js/main.js HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/animsition/js/animsition.min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/bootstrap/js/popper.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/select2/select2.min.js HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/daterangepicker/moment.min.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:53 -0500] "GET /proyecto-chat/vendor/countdowntime/countdowntime.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [23/May/2018:18:12:54 -0500] "GET /img/favicon.ico HTTP/1.1" 404 1013
